test_id,test_name,model,carrier,family_id,probe_class,rep,pass,is_infra_error,expected_result
217,QS010A,google/gemma-4-e2b,neutral_control,QS-FA10,quant-scope,6,1,0,TRUE
218,QS010B,google/gemma-4-e2b,neutral_control,QS-FA10,quant-scope,1,1,0,FALSE
218,QS010B,google/gemma-4-e2b,neutral_control,QS-FA10,quant-scope,2,1,0,FALSE
218,QS010B,google/gemma-4-e2b,neutral_control,QS-FA10,quant-scope,3,1,0,FALSE
218,QS010B,google/gemma-4-e2b,neutral_control,QS-FA10,quant-scope,4,1,0,FALSE
218,QS010B,google/gemma-4-e2b,neutral_control,QS-FA10,quant-scope,5,1,0,FALSE
218,QS010B,google/gemma-4-e2b,neutral_control,QS-FA10,quant-scope,6,1,0,FALSE
219,QS011A,google/gemma-4-e2b,neutral_control,QS-FA11,quant-scope,1,0,0,TRUE
219,QS011A,google/gemma-4-e2b,neutral_control,QS-FA11,quant-scope,2,1,0,TRUE
219,QS011A,google/gemma-4-e2b,neutral_control,QS-FA11,quant-scope,3,1,0,TRUE
219,QS011A,google/gemma-4-e2b,neutral_control,QS-FA11,quant-scope,4,1,0,TRUE
219,QS011A,google/gemma-4-e2b,neutral_control,QS-FA11,quant-scope,5,1,0,TRUE
219,QS011A,google/gemma-4-e2b,neutral_control,QS-FA11,quant-scope,6,1,0,TRUE
220,QS011B,google/gemma-4-e2b,neutral_control,QS-FA11,quant-scope,1,1,0,FALSE
220,QS011B,google/gemma-4-e2b,neutral_control,QS-FA11,quant-scope,2,1,0,FALSE
220,QS011B,google/gemma-4-e2b,neutral_control,QS-FA11,quant-scope,3,1,0,FALSE
220,QS011B,google/gemma-4-e2b,neutral_control,QS-FA11,quant-scope,4,1,0,FALSE
220,QS011B,google/gemma-4-e2b,neutral_control,QS-FA11,quant-scope,5,1,0,FALSE
220,QS011B,google/gemma-4-e2b,neutral_control,QS-FA11,quant-scope,6,1,0,FALSE
221,QS012A,google/gemma-4-e2b,neutral_control,QS-FA12,quant-scope,1,0,0,TRUE
221,QS012A,google/gemma-4-e2b,neutral_control,QS-FA12,quant-scope,2,0,0,TRUE
221,QS012A,google/gemma-4-e2b,neutral_control,QS-FA12,quant-scope,3,0,0,TRUE
221,QS012A,google/gemma-4-e2b,neutral_control,QS-FA12,quant-scope,4,0,0,TRUE
221,QS012A,google/gemma-4-e2b,neutral_control,QS-FA12,quant-scope,5,0,0,TRUE
221,QS012A,google/gemma-4-e2b,neutral_control,QS-FA12,quant-scope,6,0,0,TRUE
222,QS012B,google/gemma-4-e2b,neutral_control,QS-FA12,quant-scope,1,1,0,FALSE
222,QS012B,google/gemma-4-e2b,neutral_control,QS-FA12,quant-scope,2,1,0,FALSE
222,QS012B,google/gemma-4-e2b,neutral_control,QS-FA12,quant-scope,3,1,0,FALSE
222,QS012B,google/gemma-4-e2b,neutral_control,QS-FA12,quant-scope,4,1,0,FALSE
222,QS012B,google/gemma-4-e2b,neutral_control,QS-FA12,quant-scope,5,1,0,FALSE
222,QS012B,google/gemma-4-e2b,neutral_control,QS-FA12,quant-scope,6,1,0,FALSE
223,QS013A,google/gemma-4-e2b,neutral_control,QS-FA13,quant-scope,1,1,0,TRUE
223,QS013A,google/gemma-4-e2b,neutral_control,QS-FA13,quant-scope,2,1,0,TRUE
223,QS013A,google/gemma-4-e2b,neutral_control,QS-FA13,quant-scope,3,1,0,TRUE
223,QS013A,google/gemma-4-e2b,neutral_control,QS-FA13,quant-scope,4,1,0,TRUE
223,QS013A,google/gemma-4-e2b,neutral_control,QS-FA13,quant-scope,5,1,0,TRUE
223,QS013A,google/gemma-4-e2b,neutral_control,QS-FA13,quant-scope,6,1,0,TRUE
224,QS013B,google/gemma-4-e2b,neutral_control,QS-FA13,quant-scope,1,1,0,FALSE
224,QS013B,google/gemma-4-e2b,neutral_control,QS-FA13,quant-scope,2,1,0,FALSE
224,QS013B,google/gemma-4-e2b,neutral_control,QS-FA13,quant-scope,3,1,0,FALSE
224,QS013B,google/gemma-4-e2b,neutral_control,QS-FA13,quant-scope,4,1,0,FALSE
224,QS013B,google/gemma-4-e2b,neutral_control,QS-FA13,quant-scope,5,1,0,FALSE
224,QS013B,google/gemma-4-e2b,neutral_control,QS-FA13,quant-scope,6,1,0,FALSE
225,QS014A,google/gemma-4-e2b,neutral_control,QS-FA14,quant-scope,1,1,0,TRUE
225,QS014A,google/gemma-4-e2b,neutral_control,QS-FA14,quant-scope,2,1,0,TRUE
225,QS014A,google/gemma-4-e2b,neutral_control,QS-FA14,quant-scope,3,1,0,TRUE
225,QS014A,google/gemma-4-e2b,neutral_control,QS-FA14,quant-scope,4,1,0,TRUE
225,QS014A,google/gemma-4-e2b,neutral_control,QS-FA14,quant-scope,5,1,0,TRUE
225,QS014A,google/gemma-4-e2b,neutral_control,QS-FA14,quant-scope,6,1,0,TRUE
226,QS014B,google/gemma-4-e2b,neutral_control,QS-FA14,quant-scope,1,1,0,FALSE
226,QS014B,google/gemma-4-e2b,neutral_control,QS-FA14,quant-scope,2,1,0,FALSE
226,QS014B,google/gemma-4-e2b,neutral_control,QS-FA14,quant-scope,3,1,0,FALSE
226,QS014B,google/gemma-4-e2b,neutral_control,QS-FA14,quant-scope,4,1,0,FALSE
226,QS014B,google/gemma-4-e2b,neutral_control,QS-FA14,quant-scope,5,1,0,FALSE
226,QS014B,google/gemma-4-e2b,neutral_control,QS-FA14,quant-scope,6,1,0,FALSE
227,QS015A,google/gemma-4-e2b,neutral_control,QS-FA15,quant-scope,1,1,0,TRUE
227,QS015A,google/gemma-4-e2b,neutral_control,QS-FA15,quant-scope,2,0,0,TRUE
227,QS015A,google/gemma-4-e2b,neutral_control,QS-FA15,quant-scope,3,0,0,TRUE
227,QS015A,google/gemma-4-e2b,neutral_control,QS-FA15,quant-scope,4,0,0,TRUE
227,QS015A,google/gemma-4-e2b,neutral_control,QS-FA15,quant-scope,5,0,0,TRUE
227,QS015A,google/gemma-4-e2b,neutral_control,QS-FA15,quant-scope,6,0,0,TRUE
228,QS015B,google/gemma-4-e2b,neutral_control,QS-FA15,quant-scope,1,1,0,FALSE
228,QS015B,google/gemma-4-e2b,neutral_control,QS-FA15,quant-scope,2,1,0,FALSE
228,QS015B,google/gemma-4-e2b,neutral_control,QS-FA15,quant-scope,3,1,0,FALSE
228,QS015B,google/gemma-4-e2b,neutral_control,QS-FA15,quant-scope,4,1,0,FALSE
228,QS015B,google/gemma-4-e2b,neutral_control,QS-FA15,quant-scope,5,1,0,FALSE
228,QS015B,google/gemma-4-e2b,neutral_control,QS-FA15,quant-scope,6,1,0,FALSE
229,QS016A,google/gemma-4-e2b,neutral_control,QS-FA16,quant-scope,1,0,0,TRUE
229,QS016A,google/gemma-4-e2b,neutral_control,QS-FA16,quant-scope,2,1,0,TRUE
229,QS016A,google/gemma-4-e2b,neutral_control,QS-FA16,quant-scope,3,1,0,TRUE
